warn: Server started at with Environment :: dev || timestamp: 03-06-2023 4:07:2 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 4:07:3 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 4:07:3 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:07:4 PM 
info: Payload validation check || timestamp: 03-06-2023 4:07:4 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:07:4 PM 
info: data inserted to DB || timestamp: 03-06-2023 4:07:4 PM 
error: The "path" argument must be of type string or an instance of Buffer or URL. Received an instance of Object || timestamp: 03-06-2023 4:07:4 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 4:07:5 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 4:08:5 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 4:08:5 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 4:08:5 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:08:8 PM 
info: Payload validation check || timestamp: 03-06-2023 4:08:8 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:08:8 PM 
error: Contact user reached limit || timestamp: 03-06-2023 4:08:8 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:08:15 PM 
info: Payload validation check || timestamp: 03-06-2023 4:08:15 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:08:15 PM 
info: data inserted to DB || timestamp: 03-06-2023 4:08:15 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 4:08:16 PM 
info: Email sent successfully to Contacted Person || timestamp: 03-06-2023 4:08:16 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 4:09:48 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 4:09:49 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 4:09:49 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:10:6 PM 
info: Payload validation check || timestamp: 03-06-2023 4:10:6 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:10:6 PM 
info: data inserted to DB || timestamp: 03-06-2023 4:10:6 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 4:10:8 PM 
info: Email sent successfully to Contacted Person || timestamp: 03-06-2023 4:10:8 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 4:12:30 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 4:12:31 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 4:12:31 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:12:32 PM 
info: Payload validation check || timestamp: 03-06-2023 4:12:32 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:12:32 PM 
info: data inserted to DB || timestamp: 03-06-2023 4:12:32 PM 
info: Email sent successfully to Ping || timestamp: 03-06-2023 4:12:33 PM 
info: Email sent successfully to Contacted Person || timestamp: 03-06-2023 4:12:33 PM 
warn: Server started at with Environment :: dev || timestamp: 03-06-2023 4:15:48 PM 
info: Example app listening on port 1600! || timestamp: 03-06-2023 4:15:49 PM 
warn: DEV-Database connection Successfull || timestamp: 03-06-2023 4:15:49 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:15:55 PM 
info: Payload validation check || timestamp: 03-06-2023 4:15:55 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:15:55 PM 
error: Contact user reached limit || timestamp: 03-06-2023 4:15:55 PM 
info: Submit API hit reached || timestamp: 03-06-2023 4:17:8 PM 
info: Payload validation check || timestamp: 03-06-2023 4:17:8 PM 
info: Payload validation successfull || timestamp: 03-06-2023 4:17:8 PM 
