info: MFI data hit Received || timestamp: 22-07-2023 1:32:54 PM 
info: Data Getting Success from MFI || timestamp: 22-07-2023 1:32:54 PM 
info: GFF data hit Received || timestamp: 22-07-2023 1:33:0 PM 
info: Data Getting Success from GFF || timestamp: 22-07-2023 1:33:0 PM 
info: Get Contact hit Received || timestamp: 22-07-2023 1:35:22 PM 
info: Data Getting Success from Contact || timestamp: 22-07-2023 1:35:22 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 3:24:33 PM 
info: Payload validation check || timestamp: 22-07-2023 3:24:33 PM 
info: Payload validation successfull || timestamp: 22-07-2023 3:24:33 PM 
info: GFF Data inserted to DB || timestamp: 22-07-2023 3:24:33 PM 
info: Email sent successfully to Ping || timestamp: 22-07-2023 3:24:34 PM 
